,Loan_Id,Disbursed_Amount,Asset_Cost,ltv,Branch_Id,City_Code,State_Code_x,Postal_Code,Date_of_Birth,Employment_Type,DisbursalDate,MobileNo_Avl_Flag,Aadhar_flag,PAN_flag,VoterID_flag,Driving_flag,Passport_flag,PERFORM_CNS.SCORE,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,CREDIT.HISTORY.LENGTH,NO.OF_INQUIRIES,Region_Code,State_Code_y,City_Name,Loan_Default,State_Code,State_Name
0,1,36439,65850,56.19,64,CT01,ST15,400001,6/14/1990,Self employed,9/28/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
1,2759,56259,76491,74.52,64,CT01,ST15,400001,5/20/1985,Self employed,10/26/2018,1,1,0,0,0,0,697,0,0yrs 5mon,5,R2,ST15,Mumbai,0,ST15,Maharashtra
2,8818,28229,68406,43.86,64,CT01,ST15,400001,3/25/1988,Self employed,5/9/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
3,1429,45249,57179,81.32,67,CT01,ST15,400001,1/1/1984,Self employed,8/17/2018,1,1,0,0,0,0,758,1,2yrs 7mon,1,R2,ST15,Mumbai,0,ST15,Maharashtra
5,2246,54013,62978,88.92,67,CT01,ST15,400001,5/31/1979,Salaried,1/8/2018,1,1,0,0,0,0,752,0,3yrs 1mon,1,R2,ST15,Mumbai,0,ST15,Maharashtra
6,2522,58913,80488,75.17,67,CT01,ST15,400001,6/1/1975,Salaried,8/31/2018,1,0,0,1,0,0,0,0,0yrs 0mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
7,3094,54459,67203,83.33,67,CT01,ST15,400001,3/3/1984,Salaried,12/10/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
8,4373,40022,69894,58.66,67,CT01,ST15,400001,1/1/1983,Salaried,10/22/2018,1,1,0,0,0,0,677,0,1yrs 6mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
9,4422,54659,66650,84.02,67,CT01,ST15,400001,7/1/1981,Self employed,10/21/2018,1,0,0,0,1,0,0,0,0yrs 0mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
10,6071,44349,61540,74.75,67,CT01,ST15,400001,1/1/1988,Self employed,3/8/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
13,8311,53703,70711,77.78,67,CT01,ST15,400001,1/1/1982,Self employed,10/29/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
14,8933,57609,88367,66.37,67,CT01,ST15,400001,1/1/1985,Self employed,10/14/2018,1,1,0,0,0,0,825,0,1yrs 4mon,0,R2,ST15,Mumbai,1,ST15,Maharashtra
15,9205,41594,59850,71.85,67,CT01,ST15,400001,6/6/1993,Self employed,10/14/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
16,9765,49703,68186,74.8,67,CT01,ST15,400001,1/1/1986,Self employed,10/24/2018,1,0,0,1,0,0,845,0,3yrs 0mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
17,9959,47549,62200,78.78,67,CT01,ST15,400001,5/20/1964,Self employed,10/19/2018,1,1,0,0,0,0,17,1,0yrs 2mon,1,R2,ST15,Mumbai,1,ST15,Maharashtra
18,10109,45749,67500,69.63,67,CT01,ST15,400001,1/1/1965,Self employed,10/22/2018,1,1,0,0,0,0,738,0,0yrs 11mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
19,11939,63613,92612,70.19,67,CT01,ST15,400001,4/11/1982,Self employed,10/19/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
20,12551,53959,66849,82.72,67,CT01,ST15,400001,1/1/1989,Self employed,9/19/2018,1,1,0,0,0,0,660,0,0yrs 11mon,2,R2,ST15,Mumbai,0,ST15,Maharashtra
21,13904,48549,67269,74.03,67,CT01,ST15,400001,7/10/1981,Self employed,9/19/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
22,15725,56759,74455,77.9,67,CT01,ST15,400001,6/1/1973,Self employed,10/31/2018,1,1,0,0,0,0,640,1,3yrs 5mon,0,R2,ST15,Mumbai,1,ST15,Maharashtra
23,15756,67282,89168,77.38,67,CT01,ST15,400001,5/23/1994,Salaried,10/25/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R2,ST15,Mumbai,1,ST15,Maharashtra
24,17521,49478,62640,81.42,67,CT01,ST15,400001,1/28/1997,Salaried,8/30/2018,1,0,0,1,0,0,0,0,0yrs 0mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
25,18000,54659,74000,75.68,67,CT01,ST15,400001,1/1/1969,Self employed,10/13/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
26,18954,61098,79448,79.3,67,CT01,ST15,400001,2/21/1995,Self employed,10/10/2018,1,1,0,0,0,0,559,1,2yrs 9mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
27,20441,55139,66737,85.0,67,CT01,ST15,400001,11/24/1990,Salaried,8/24/2018,1,0,0,1,0,0,0,0,0yrs 0mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
28,20749,49203,67186,75.16,67,CT01,ST15,400001,5/31/1993,Salaried,8/18/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R2,ST15,Mumbai,1,ST15,Maharashtra
29,21928,38839,62600,63.9,67,CT01,ST15,400001,10/21/1992,Salaried,8/18/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
30,22078,44394,73199,61.48,67,CT01,ST15,400001,5/1/1990,Self employed,10/18/2018,1,1,0,0,0,0,763,0,0yrs 5mon,1,R2,ST15,Mumbai,0,ST15,Maharashtra
31,22394,48249,64130,77.19,67,CT01,ST15,400001,7/11/1986,Salaried,10/16/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
32,372,65882,74500,89.93,2,CT01,ST15,400001,1/1/1966,Self employed,9/18/2018,1,1,0,0,0,0,710,0,2yrs 0mon,3,R3,ST15,Mumbai,0,ST15,Maharashtra
33,482,51238,64000,82.03,2,CT01,ST15,400001,1/1/1963,Self employed,9/21/2018,1,1,0,0,0,0,0,0,0yrs 0mon,1,R3,ST15,Mumbai,0,ST15,Maharashtra
34,813,52303,85298,62.14,2,CT01,ST15,400001,5/14/1997,Salaried,8/28/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
35,1181,53303,78200,70.33,2,CT01,ST15,400001,10/10/1991,Salaried,9/19/2018,1,1,1,0,0,0,709,0,0yrs 7mon,1,R3,ST15,Mumbai,1,ST15,Maharashtra
36,1627,55300,86000,65.16,2,CT01,ST15,400001,7/17/1985,Salaried,10/31/2018,1,1,0,0,0,0,825,0,0yrs 11mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
37,2579,70317,105500,68.25,2,CT01,ST15,400001,1/1/1984,Salaried,10/31/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
38,2938,44671,65592,70.62,2,CT01,ST15,400001,1/1/1993,Salaried,6/8/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
39,3237,76079,105086,73.27,2,CT01,ST15,400001,7/28/1997,Salaried,10/22/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
40,4092,60647,69024,89.82,2,CT01,ST15,400001,8/27/1977,Self employed,8/24/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
41,4611,74123,101700,73.75,2,CT01,ST15,400001,3/12/1985,Salaried,9/25/2018,1,1,0,0,0,0,708,0,0yrs 6mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
42,4937,46845,60000,80.0,2,CT01,ST15,400001,7/17/1985,Salaried,7/8/2018,1,1,0,0,0,0,708,0,0yrs 11mon,1,R3,ST15,Mumbai,1,ST15,Maharashtra
43,5903,54303,67000,82.09,2,CT01,ST15,400001,7/14/1994,Salaried,8/29/2018,1,1,0,0,0,0,763,0,2yrs 2mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
44,5984,66069,75500,89.93,2,CT01,ST15,400001,10/22/1989,Self employed,9/20/2018,1,1,0,0,0,0,749,0,3yrs 11mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
45,6270,46849,94401,51.38,2,CT01,ST15,400001,12/5/1991,Salaried,8/8/2018,1,1,0,0,0,0,708,0,0yrs 5mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
46,6822,63413,112711,57.23,2,CT01,ST15,400001,2/17/1989,Self employed,10/24/2018,1,1,0,0,0,0,722,0,11yrs 6mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
47,7214,77579,88288,89.48,2,CT01,ST15,400001,3/15/1993,Salaried,9/14/2018,1,1,0,0,0,0,580,0,1yrs 5mon,0,R3,ST15,Mumbai,1,ST15,Maharashtra
48,8619,49349,90000,55.56,2,CT01,ST15,400001,5/9/1990,Salaried,10/20/2018,1,1,0,0,0,0,409,0,1yrs 3mon,0,R3,ST15,Mumbai,1,ST15,Maharashtra
49,9025,66382,77453,87.8,2,CT01,ST15,400001,6/10/1994,Salaried,9/16/2018,1,1,0,0,0,0,763,0,0yrs 7mon,1,R3,ST15,Mumbai,0,ST15,Maharashtra
50,9266,65669,84000,79.76,2,CT01,ST15,400001,4/22/1993,Self employed,5/9/2018,1,1,0,0,0,0,0,0,0yrs 0mon,1,R3,ST15,Mumbai,0,ST15,Maharashtra
51,9549,54679,72000,77.78,2,CT01,ST15,400001,1/1/1970,Self employed,9/8/2018,1,1,0,0,0,0,656,0,0yrs 11mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
52,10145,60213,68000,89.71,2,CT01,ST15,400001,12/11/1987,Self employed,12/9/2018,1,1,0,0,0,0,543,1,1yrs 10mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
53,10477,46649,74500,64.16,2,CT01,ST15,400001,1/1/1980,Salaried,9/25/2018,1,1,0,0,0,0,17,0,2yrs 0mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
54,10941,57299,73850,79.95,2,CT01,ST15,400001,8/27/1997,Salaried,5/9/2018,1,1,0,0,0,0,825,0,0yrs 6mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
55,11082,53728,66000,83.33,2,CT01,ST15,400001,6/1/1982,Self employed,6/8/2018,1,1,0,0,0,0,783,0,2yrs 0mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
56,11095,64757,77500,85.0,2,CT01,ST15,400001,11/26/1990,Self employed,9/24/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
